job-id,query-cardinality,query-vocabulary,pollution,surfaced-set,offered-set,used-set
invoke-1785424651767-344-d6e4ed74,4,1,0.0,0,0,0
invoke-1785425401395-351-8ebdd11a,4,1,0.0,0,0,0
invoke-1785425985375-354-fa2f6333,4,1,0.0,0,0,0
invoke-1785426831145-357-462e4a0d,4,1,0.0,0,0,0
invoke-1785432503521-362-4f8b71e9,4,1,0.0,0,0,0
invoke-1785432909957-364-928b4249,4,1,0.0,5,5,0
invoke-1785433194612-365-336a88d9,4,1,0.0,5,5,0
invoke-1785433615160-367-0f173b97,4,1,0.0,0,0,0
invoke-1785434639043-369-d460cf72,4,1,0.0,5,5,2
invoke-1785436046073-372-28603266,4,1,0.0,5,5,1
invoke-1785437916706-378-286a4226,4,1,0.0,0,0,0
invoke-1785439906978-381-36c58afb,4,1,0.0,5,5,0
invoke-1785440558225-384-2820fe28,4,1,0.0,4,4,4
invoke-1785441024938-386-944657a5,4,1,0.0,5,5,4
invoke-1785442373724-389-d3ee2d20,4,1,0.0,0,0,0
invoke-1785446014987-392-3c78ad0b,4,1,0.0,0,0,0
invoke-1785448407546-396-80ac8783,4,1,0.25,5,5,0
invoke-1785448446267-397-954e5ec9,4,1,0.0,0,0,0
invoke-1785449267314-399-c1318ec2,4,1,0.0,0,0,0
invoke-1785449302666-400-2956dd68,4,1,0.0,5,5,1
invoke-1785451020936-403-177f0408,4,1,0.25,5,5,2
invoke-1785451054804-404-ea54a8e6,4,1,0.0,5,5,1
invoke-1785452411378-406-4a85d0fb,4,1,0.0,5,5,2
invoke-1785452448315-407-003306a5,4,1,0.0,0,0,0
invoke-1785453304694-411-86a472d7,4,1,0.0,5,5,2
invoke-1785453341805-412-b4457c5d,4,1,0.0,0,0,0
invoke-1785456131137-414-deba81c2,4,1,0.0,5,5,0
invoke-1785456161357-415-96ae984b,4,1,0.0,5,5,0
invoke-1785457030310-419-0dd760eb,4,1,0.0,5,5,0
invoke-1785457061590-420-9110d0ac,4,1,0.0,5,5,0
invoke-1785459775899-422-8b0bdb11,4,1,0.0,5,5,0
invoke-1785459812871-423-96015ad9,4,1,0.0,0,0,0
